time/time_elapsed,time/fps,time/total_timesteps,rollout/exploration_rate,rollout/ep_rew_mean,rollout/ep_len_mean,time/episodes,train/loss,train/learning_rate,train/n_updates
4099,113,464436,0.05,172.64029137,84.0,5529,1.3359341621398926,0.0001,116083
4100,113,464520,0.05,174.07918029000004,84.0,5530,7.217207908630371,0.0001,116104
4101,113,464604,0.05,174.34871023000002,84.0,5531,1.1342686414718628,0.0001,116125
4101,113,464688,0.05,174.24738326000002,84.0,5532,1.6180319786071777,0.0001,116146
4102,113,464772,0.05,175.41388333999998,84.0,5533,2.3968095779418945,0.0001,116167
4103,113,464856,0.05,176.09051564,84.0,5534,0.9213395714759827,0.0001,116188
4104,113,464940,0.05,176.15549426999993,84.0,5535,6.294383525848389,0.0001,116209
4105,113,465024,0.05,176.06394368999997,84.0,5536,7.556828022003174,0.0001,116230
4105,113,465108,0.05,176.00197472999997,84.0,5537,7.59501838684082,0.0001,116251
4106,113,465192,0.05,176.16581578999998,84.0,5538,0.464570552110672,0.0001,116272
4107,113,465276,0.05,175.79861419,84.0,5539,1.0182005167007446,0.0001,116293
4108,113,465360,0.05,176.27691037000005,84.0,5540,0.9869111776351929,0.0001,116314
4109,113,465444,0.05,176.02046803000002,84.0,5541,1.0056482553482056,0.0001,116335
4109,113,465528,0.05,175.60414812000002,84.0,5542,7.327037811279297,0.0001,116356
4110,113,465612,0.05,176.80574420000002,84.0,5543,6.062726020812988,0.0001,116377
4111,113,465696,0.05,176.92851002999996,84.0,5544,0.651707649230957,0.0001,116398
4112,113,465780,0.05,176.53773053,84.0,5545,1.4943565130233765,0.0001,116419
4113,113,465864,0.05,176.32599415999996,84.0,5546,6.871963977813721,0.0001,116440
4114,113,465948,0.05,175.81963301999997,84.0,5547,6.9217424392700195,0.0001,116461
4114,113,466032,0.05,176.31053018999995,84.0,5548,0.43711572885513306,0.0001,116482
4115,113,466116,0.05,176.09014819999993,84.0,5549,1.3825266361236572,0.0001,116503
4116,113,466200,0.05,176.16776679999995,84.0,5550,7.9400529861450195,0.0001,116524
4117,113,466284,0.05,176.06221554999996,84.0,5551,1.283907413482666,0.0001,116545
4118,113,466368,0.05,175.12390785,84.0,5552,13.405183792114258,0.0001,116566
4118,113,466452,0.05,174.95324499000003,84.0,5553,1.3057464361190796,0.0001,116587
4119,113,466536,0.05,174.72024333000002,84.0,5554,5.253296375274658,0.0001,116608
