time/episodes,rollout/exploration_rate,time/fps,rollout/ep_len_mean,time/total_timesteps,rollout/ep_rew_mean,time/time_elapsed,train/n_updates,train/loss,train/learning_rate
59,0.9476866666666668,135,84.0,4956,397.8841283559322,36,1213,2.255448818206787,0.0001
60,0.9467999999999995,136,84.0,5040,398.50679453333333,37,1234,3.052823066711426,0.0001
61,0.9459133333333334,136,84.0,5124,399.5178757704918,37,1255,2.7443621158599854,0.0001
62,0.9450266666666662,136,84.0,5208,399.3254498225807,38,1276,4.907670974731445,0.0001
63,0.9441400000000001,136,84.0,5292,399.42422706349214,38,1297,2.369030475616455,0.0001
64,0.9432533333333328,135,84.0,5376,399.817841546875,39,1318,3.114222526550293,0.0001
65,0.9423666666666667,135,84.0,5460,399.2418557692308,40,1339,7.34066915512085,0.0001
66,0.9414799999999994,135,84.0,5544,398.0908220151515,40,1360,2.5122272968292236,0.0001
67,0.9405933333333334,135,84.0,5628,395.85754192537314,41,1381,2.6525628566741943,0.0001
68,0.9397066666666672,135,84.0,5712,395.91327217647057,42,1402,1.4257663488388062,0.0001
69,0.93882,135,84.0,5796,395.8922757536232,42,1423,2.0030837059020996,0.0001
