year,T_a,C_a,C_o,C_od,T_o,E21,E22,E23,E24,E12,action_0,reward,done,,,
2062,1.478094362,822.4782879,137.1622398,1378.298455,1.08948268,693.3587261,267.9530164,13.39951888,47.50738509,50.312,14,-0.219056383,FALSE,,-0.021905638,
2063,1.470712572,820.2514797,136.9746559,1377.783252,1.097104312,700.1562109,271.2145373,13.39951888,47.50738509,50.312,14,-0.292874284,FALSE,,-0.029287428,
2064,1.463454888,818.0326997,136.781714,1377.174174,1.104430115,706.9764062,274.5627018,13.39951888,47.50738509,50.312,14,-0.365451124,FALSE,,-0.036545112,
2065,1.456311152,815.7864797,136.5828473,1376.473888,1.111468321,713.7892428,277.9091398,13.39951888,47.50738509,50.312,14,-0.436888482,FALSE,,-0.043688848,
2066,1.449269835,813.5449837,136.378103,1375.684426,1.118226749,720.6770786,281.358117,13.39951888,47.50738509,50.312,14,-0.507301648,FALSE,,-0.050730165,
2067,1.442334556,811.3551997,136.1702732,1374.808714,1.124712975,728.6618552,285.299454,13.39951888,47.50738509,50.312,14,-0.576654437,FALSE,,-0.057665444,
2068,1.435511966,809.2023373,135.9606553,1373.851067,1.130934562,736.9094256,289.4949293,13.39951888,47.50738509,50.312,14,-0.644880341,FALSE,,-0.064488034,
2069,1.428794687,807.0475605,135.7474792,1372.815309,1.136898931,745.0103395,293.7248814,13.39951888,47.50738509,50.312,14,-0.712053126,FALSE,,-0.071205313,
2070,1.422167817,804.8479377,135.5291674,1371.703853,1.142613132,753.4517926,298.0159707,13.39951888,47.50738509,50.312,14,-0.778321833,FALSE,,-0.077832183,
2071,1.415614427,802.6478589,135.3053444,1370.517974,1.148083717,761.8874965,302.4041566,13.39951888,47.50738509,50.312,14,-0.843855726,FALSE,,-0.084385573,
2072,1.409124727,800.4374307,135.0767558,1369.259321,1.153316869,770.4932839,306.8726508,13.39951888,47.50738509,50.312,14,-0.908752728,FALSE,,-0.090875273,
2073,1.402733096,798.2127876,134.8432981,1367.929562,1.1583189,779.1570553,311.3906571,13.39951888,47.50738509,50.312,14,-0.972669039,FALSE,,-0.097266904,
2074,1.396603875,795.9637947,134.6045502,1366.530083,1.163097988,787.8025385,315.915734,13.39951888,47.50738509,50.312,14,-1.033961254,FALSE,,-0.103396125,
2075,1.390695548,793.6854,134.3601168,1365.061882,1.167663327,796.3540934,320.4156162,13.39951888,47.50738509,50.312,14,-1.093044522,FALSE,,-0.109304452,
2076,1.384968104,791.3719827,134.1096309,1363.525637,1.172023125,804.7582657,324.8590004,13.39951888,47.50738509,50.312,14,-1.150318965,FALSE,,-0.115031896,
2077,1.379383387,789.0209742,133.8528065,1361.921751,1.176184651,812.9684504,329.2217299,13.39951888,47.50738509,50.312,14,-1.206166135,FALSE,,-0.120616613,
2078,1.373905323,786.6303098,133.5894557,1360.250445,1.180154295,820.9522556,333.4828234,13.39951888,47.50738509,50.312,14,-1.260946769,FALSE,,-0.126094677,
2079,1.368500426,784.1997648,133.3194806,1358.511826,1.183937631,828.6836543,337.6264124,13.39951888,47.50738509,50.312,14,-1.314995742,FALSE,,-0.131499574,
2080,1.363137789,781.7296962,133.0428642,1356.705959,1.187539486,836.1445333,341.6393791,13.39951888,47.50738509,50.312,14,-1.36862211,FALSE,,-0.136862211,
