time/episodes,time/time_elapsed,rollout/exploration_rate,rollout/ep_rew_mean,time/fps,time/total_timesteps,rollout/ep_len_mean,train/loss,train/learning_rate,train/n_updates
59,21,0.9476866666666668,18.971539576271187,232,4956,84.0,1.04580819606781,0.0001,1213
60,21,0.9467999999999995,19.082346683333334,232,5040,84.0,0.9623978734016418,0.0001,1234
61,22,0.9459133333333334,19.12132157377049,231,5124,84.0,0.8935507535934448,0.0001,1255
62,22,0.9450266666666662,19.074344935483868,231,5208,84.0,3.861018657684326,0.0001,1276
63,22,0.9441400000000001,19.068650587301587,231,5292,84.0,1.0055630207061768,0.0001,1297
64,23,0.9432533333333328,19.065096765625,231,5376,84.0,0.7104177474975586,0.0001,1318
65,23,0.9423666666666667,19.04520606153846,231,5460,84.0,6.745666027069092,0.0001,1339
66,23,0.9414799999999994,19.092483409090907,231,5544,84.0,1.0980298519134521,0.0001,1360
67,24,0.9405933333333334,19.0977187761194,231,5628,84.0,0.6829574704170227,0.0001,1381
68,24,0.9397066666666672,19.09766525,231,5712,84.0,1.0530905723571777,0.0001,1402
69,25,0.93882,19.105266550724636,230,5796,84.0,0.8527106046676636,0.0001,1423
