rollout/ep_rew_mean,rollout/exploration_rate,time/total_timesteps,rollout/ep_len_mean,time/fps,time/time_elapsed,time/episodes,train/learning_rate,train/n_updates,train/loss
21.076210979999995,0.05,214164,56.89,171,1251,4755,0.0001,53515,0.5348747372627258
20.55464553,0.05,214195,56.5,171,1251,4756,0.0001,53523,3.425894021987915
21.02337239,0.05,214280,56.5,171,1252,4757,0.0001,53544,0.3794971704483032
20.55127689,0.05,214316,56.3,171,1252,4758,0.0001,53553,0.28420692682266235
20.89342061,0.05,214375,56.04,171,1252,4759,0.0001,53568,3.9366137981414795
20.43009355,0.05,214416,55.6,171,1252,4760,0.0001,53578,0.38941821455955505
20.40614447,0.05,214455,55.14,171,1253,4761,0.0001,53588,3.995077610015869
20.31037141,0.05,214489,55.09,171,1253,4762,0.0001,53597,3.67763352394104
20.21425769,0.05,214526,55.03,171,1253,4763,0.0001,53606,0.8002923727035522
20.22128163,0.05,214567,55.04,171,1253,4764,0.0001,53616,0.2817535698413849
19.9505622,0.05,214603,54.88,171,1254,4765,0.0001,53625,5.843353271484375
20.41367331,0.05,214688,54.88,171,1254,4766,0.0001,53646,3.3241171836853027
20.22724429,0.05,214770,54.85,171,1254,4767,0.0001,53667,3.4153964519500732
20.49515589,0.05,214842,54.72,171,1255,4768,0.0001,53685,2.761366367340088
20.100725710000003,0.05,214882,54.56,171,1255,4769,0.0001,53695,0.4468105137348175
19.79550761,0.05,214967,54.91,171,1255,4770,0.0001,53716,0.7927738428115845
20.007171760000002,0.05,215007,54.46,171,1255,4771,0.0001,53726,0.5777735710144043
19.847304230000002,0.05,215092,54.46,171,1256,4772,0.0001,53747,3.733473062515259
19.5955738,0.05,215130,53.99,171,1256,4773,0.0001,53757,0.5667487382888794
19.247738970000004,0.05,215172,53.65,171,1256,4774,0.0001,53767,0.551032543182373
18.5423924,0.05,215217,53.25,171,1257,4775,0.0001,53779,3.3958795070648193
18.446574809999998,0.05,215302,53.7,171,1257,4776,0.0001,53800,0.6599038243293762
18.11721021,0.05,215342,53.48,171,1257,4777,0.0001,53810,0.45679494738578796
17.87817085,0.05,215388,53.32,171,1258,4778,0.0001,53821,9.379047393798828
17.765729420000003,0.05,215423,53.26,171,1258,4779,0.0001,53830,3.2786688804626465
17.836258040000004,0.05,215458,53.31,171,1258,4780,0.0001,53839,6.483029365539551
17.991571070000003,0.05,215498,53.4,171,1258,4781,0.0001,53849,2.7796733379364014
17.59370737,0.05,215535,52.92,171,1259,4782,0.0001,53858,0.48862430453300476
17.89790398,0.05,215586,53.1,171,1259,4783,0.0001,53871,8.29914665222168
18.09463721,0.05,215649,53.28,171,1259,4784,0.0001,53887,6.785096168518066
18.59781251,0.05,215734,53.79,171,1259,4785,0.0001,53908,9.551565170288086
19.42044624,0.05,215819,54.31,171,1260,4786,0.0001,53929,0.5960530638694763
19.54227003,0.05,215904,54.83,171,1260,4787,0.0001,53950,0.7363048791885376
19.93330044,0.05,215989,55.34,171,1261,4788,0.0001,53972,6.1619439125061035
20.00736432,0.05,216027,55.38,171,1261,4789,0.0001,53981,0.5721454620361328
20.287343840000002,0.05,216082,55.54,171,1261,4790,0.0001,53995,12.664498329162598
20.650388980000002,0.05,216167,55.54,171,1262,4791,0.0001,54016,3.6636223793029785
20.884970720000002,0.05,216228,55.7,171,1262,4792,0.0001,54031,6.921290874481201
20.932802270000003,0.05,216262,55.19,171,1262,4793,0.0001,54040,6.08548641204834
20.64971677,0.05,216301,54.73,171,1262,4794,0.0001,54050,2.2144289016723633
21.023329599999997,0.05,216354,54.95,171,1263,4795,0.0001,54063,3.4615628719329834
20.50245964,0.05,216402,54.58,171,1263,4796,0.0001,54075,0.39473748207092285
20.62400193,0.05,216481,54.84,171,1263,4797,0.0001,54095,0.460216224193573
20.52727089,0.05,216540,54.81,171,1264,4798,0.0001,54109,0.3967703878879547
19.95677526,0.05,216578,54.56,171,1264,4799,0.0001,54119,3.360175132751465
19.95682407,0.05,216620,54.55,171,1264,4800,0.0001,54129,0.42165374755859375
20.1008188,0.05,216663,54.62,171,1264,4801,0.0001,54140,3.4169628620147705
20.12879542,0.05,216704,54.63,171,1265,4802,0.0001,54150,0.4813354015350342
20.10578635,0.05,216744,54.62,171,1265,4803,0.0001,54160,0.6437526941299438
20.082942789999993,0.05,216782,54.61,171,1265,4804,0.0001,54170,6.946754455566406
20.330504159999997,0.05,216840,54.77,171,1265,4805,0.0001,54184,0.6439590454101562
20.43146355,0.05,216881,54.83,171,1266,4806,0.0001,54195,0.5047481060028076
20.155920929999997,0.05,216928,54.69,171,1266,4807,0.0001,54206,0.48237866163253784
20.750236949999998,0.05,217013,55.21,171,1266,4808,0.0001,54228,3.501842975616455
20.82699406,0.05,217049,55.25,171,1266,4809,0.0001,54237,0.3520469665527344
20.93453895,0.05,217134,55.75,171,1267,4810,0.0001,54258,2.631974697113037
20.61675132,0.05,217180,55.36,171,1267,4811,0.0001,54269,3.6286957263946533
20.543932020000003,0.05,217265,55.36,171,1267,4812,0.0001,54291,3.3087100982666016
20.627968470000006,0.05,217306,55.41,171,1268,4813,0.0001,54301,0.41551339626312256
21.021439820000005,0.05,217359,55.63,171,1268,4814,0.0001,54314,5.458044528961182
20.946271350000004,0.05,217418,55.37,171,1268,4815,0.0001,54329,0.6136386394500732
21.065475820000003,0.05,217457,55.44,171,1269,4816,0.0001,54339,0.6654571890830994
20.38897016,0.05,217491,55.08,171,1269,4817,0.0001,54347,3.673292636871338
20.4260049,0.05,217527,55.1,171,1269,4818,0.0001,54356,3.2000861167907715
20.52591957,0.05,217612,55.1,171,1269,4819,0.0001,54377,9.304431915283203
20.651177050000005,0.05,217649,55.17,171,1270,4820,0.0001,54387,5.52903938293457
20.107312789999998,0.05,217734,55.42,171,1270,4821,0.0001,54408,3.4147636890411377
20.03170629,0.05,217773,55.38,171,1270,4822,0.0001,54418,5.466830730438232
20.030423550000002,0.05,217816,55.37,171,1270,4823,0.0001,54428,3.5089049339294434
20.21451975,0.05,217869,55.45,171,1271,4824,0.0001,54442,6.665693283081055
19.681602330000004,0.05,217907,55.19,171,1271,4825,0.0001,54451,0.3366095721721649
19.613712010000004,0.05,217940,55.15,171,1271,4826,0.0001,54459,3.159435987472534
20.08603216,0.05,218000,54.9,171,1271,4827,0.0001,54474,0.37267622351646423
20.10967443,0.05,218044,54.91,171,1272,4828,0.0001,54485,6.344420433044434
19.79413934,0.05,218113,54.75,171,1272,4829,0.0001,54503,0.3447962999343872
20.238997859999998,0.05,218179,55.07,171,1272,4830,0.0001,54519,3.553046226501465
20.673555710000002,0.05,218238,55.35,171,1273,4831,0.0001,54534,4.998612880706787
20.87648555,0.05,218323,55.35,171,1273,4832,0.0001,54555,0.2527332901954651
21.209014739999997,0.05,218382,55.57,171,1273,4833,0.0001,54570,6.424844264984131
21.456371449999995,0.05,218455,55.45,171,1274,4834,0.0001,54588,3.4384469985961914
21.914813719999998,0.05,218517,55.75,171,1274,4835,0.0001,54604,0.35080498456954956
21.597035439999996,0.05,218554,55.27,171,1274,4836,0.0001,54613,0.46424129605293274
21.46621389,0.05,218595,55.21,171,1274,4837,0.0001,54623,0.5373384952545166
22.108894049999993,0.05,218663,55.54,171,1275,4838,0.0001,54640,0.4401281177997589
22.019616349999996,0.05,218701,55.07,171,1275,4839,0.0001,54650,2.5089993476867676
21.610636239999998,0.05,218738,54.8,171,1275,4840,0.0001,54659,3.5078656673431396
21.633846689999995,0.05,218823,55.25,171,1276,4841,0.0001,54680,3.714522361755371
21.796532550000002,0.05,218884,55.29,171,1276,4842,0.0001,54695,0.49181345105171204
21.56846933,0.05,218927,55.15,171,1276,4843,0.0001,54706,3.465987205505371
21.656410390000005,0.05,218982,54.85,171,1276,4844,0.0001,54720,3.3491759300231934
21.450271580000003,0.05,219021,54.72,171,1277,4845,0.0001,54730,3.4103240966796875
21.77885532,0.05,219077,54.43,171,1277,4846,0.0001,54744,0.6422633528709412
22.23577405,0.05,219162,54.63,171,1277,4847,0.0001,54765,0.6061034202575684
22.210284530000003,0.05,219195,54.62,171,1277,4848,0.0001,54773,3.5156030654907227
23.323544539999997,0.05,219280,54.62,171,1278,4849,0.0001,54794,6.438192367553711
23.319222699999997,0.05,219335,54.61,171,1278,4850,0.0001,54808,0.9657871127128601
23.685950849999994,0.05,219395,54.85,171,1278,4851,0.0001,54823,0.5214813947677612
