rollout/ep_len_mean,rollout/ep_rew_mean,time/time_elapsed,time/episodes,time/fps,rollout/exploration_rate,time/total_timesteps,train/learning_rate,train/n_updates,train/loss
84.0,53.587923700000005,2047,4463,183,0.05,374892,0.0001,93697,3.5136475563049316
84.0,53.47328337,2048,4464,183,0.05,374976,0.0001,93718,0.11254868656396866
84.0,53.39675448999999,2048,4465,183,0.05,375060,0.0001,93739,0.1858629584312439
84.0,53.37030394000001,2049,4466,183,0.05,375144,0.0001,93760,3.4794304370880127
84.0,53.17071461999999,2049,4467,183,0.05,375228,0.0001,93781,0.218784362077713
84.0,53.16411602,2050,4468,183,0.05,375312,0.0001,93802,0.07317032665014267
84.0,53.191991949999995,2050,4469,183,0.05,375396,0.0001,93823,3.7646398544311523
84.0,53.060512200000005,2051,4470,183,0.05,375480,0.0001,93844,0.05417318642139435
84.0,53.06750115999999,2051,4471,183,0.05,375564,0.0001,93865,3.435039758682251
84.0,52.98975567,2052,4472,183,0.05,375648,0.0001,93886,0.14229929447174072
84.0,53.05267559999999,2052,4473,183,0.05,375732,0.0001,93907,7.12119197845459
84.0,53.36998588,2053,4474,183,0.05,375816,0.0001,93928,0.1098734438419342
84.0,53.41871088,2053,4475,183,0.05,375900,0.0001,93949,0.06497257947921753
84.0,53.28568917,2054,4476,183,0.05,375984,0.0001,93970,3.632632255554199
84.0,53.40661144999999,2054,4477,183,0.05,376068,0.0001,93991,0.2648353576660156
84.0,53.38533285999999,2055,4478,183,0.05,376152,0.0001,94012,0.07377834618091583
84.0,53.56842893,2055,4479,183,0.05,376236,0.0001,94033,0.10680819302797318
84.0,53.73731134999999,2056,4480,183,0.05,376320,0.0001,94054,0.16807568073272705
84.0,53.50466874,2056,4481,183,0.05,376404,0.0001,94075,0.2085590958595276
84.0,53.407922830000004,2056,4482,183,0.05,376488,0.0001,94096,6.686528205871582
84.0,53.365777230000006,2057,4483,183,0.05,376572,0.0001,94117,0.039347678422927856
84.0,53.36507666000001,2058,4484,183,0.05,376656,0.0001,94138,0.11700238287448883
84.0,53.11785023999999,2058,4485,183,0.05,376740,0.0001,94159,0.07184038311243057
84.0,53.051793790000005,2059,4486,183,0.05,376824,0.0001,94180,0.03491682559251785
84.0,52.87256877999998,2059,4487,183,0.05,376908,0.0001,94201,0.19056512415409088
84.0,52.73336224,2060,4488,183,0.05,376992,0.0001,94222,0.09730100631713867
84.0,52.82539548999999,2060,4489,182,0.05,377076,0.0001,94243,0.10021496564149857
84.0,52.8932061,2061,4490,182,0.05,377160,0.0001,94264,3.52485728263855
84.0,53.02832557,2061,4491,182,0.05,377244,0.0001,94285,0.06435100734233856
