time/fps,rollout/ep_rew_mean,time/total_timesteps,time/episodes,rollout/ep_len_mean,time/time_elapsed,rollout/exploration_rate,train/n_updates,train/loss,train/learning_rate
108,19.954060730000002,552048,6572,84.0,5081,0.05,137986,0.3215361535549164,0.0001
108,20.065936970000003,552132,6573,84.0,5082,0.05,138007,0.1437428891658783,0.0001
108,18.62650603,552216,6574,84.0,5082,0.05,138028,0.16552051901817322,0.0001
108,18.765618330000006,552300,6575,84.0,5083,0.05,138049,0.23878496885299683,0.0001
108,18.653235570000003,552384,6576,84.0,5084,0.05,138070,0.3473871946334839,0.0001
108,19.409784330000004,552468,6577,84.0,5085,0.05,138091,0.2315339744091034,0.0001
108,18.6913553,552552,6578,84.0,5085,0.05,138112,0.12289254367351532,0.0001
108,19.21405387,552636,6579,84.0,5086,0.05,138133,0.09578166902065277,0.0001
108,18.98619954,552720,6580,84.0,5087,0.05,138154,0.32161176204681396,0.0001
108,19.4447718,552804,6581,84.0,5088,0.05,138175,0.20863144099712372,0.0001
108,19.778213770000004,552888,6582,84.0,5089,0.05,138196,0.17464721202850342,0.0001
108,20.40556211,552972,6583,84.0,5089,0.05,138217,0.22012165188789368,0.0001
108,21.23196527,553056,6584,84.0,5090,0.05,138238,0.5875352025032043,0.0001
108,22.105066850000004,553140,6585,84.0,5091,0.05,138259,0.2421734482049942,0.0001
108,23.20289279,553224,6586,84.0,5092,0.05,138280,0.09844821691513062,0.0001
108,23.128245550000003,553308,6587,84.0,5093,0.05,138301,0.6231072545051575,0.0001
108,22.633488839999995,553392,6588,84.0,5093,0.05,138322,0.10102003067731857,0.0001
108,22.69395521,553476,6589,84.0,5094,0.05,138343,0.1496390998363495,0.0001
108,22.52304055,553560,6590,84.0,5095,0.05,138364,0.08317889273166656,0.0001
108,22.878398819999997,553644,6591,84.0,5096,0.05,138385,0.16319532692432404,0.0001
108,23.367896759999997,553728,6592,84.0,5097,0.05,138406,0.29144686460494995,0.0001
108,23.169997410000004,553812,6593,84.0,5097,0.05,138427,0.2939003109931946,0.0001
108,23.259507970000005,553896,6594,84.0,5098,0.05,138448,0.10768695175647736,0.0001
108,23.742069270000005,553980,6595,84.0,5099,0.05,138469,0.19383379817008972,0.0001
108,23.718682010000002,554064,6596,84.0,5100,0.05,138490,0.1843108832836151,0.0001
108,24.02200389,554148,6597,84.0,5100,0.05,138511,0.20581090450286865,0.0001
108,24.217870939999994,554232,6598,84.0,5101,0.05,138532,0.0978478416800499,0.0001
108,24.377494069999997,554316,6599,84.0,5102,0.05,138553,0.07361636310815811,0.0001
108,25.272211749999997,554400,6600,84.0,5103,0.05,138574,0.10196321457624435,0.0001
108,25.074978789999996,554484,6601,84.0,5104,0.05,138595,0.059387870132923126,0.0001
108,24.153820479999993,554568,6602,84.0,5104,0.05,138616,0.10666204988956451,0.0001
108,22.919769069999997,554652,6603,84.0,5105,0.05,138637,0.6467502117156982,0.0001
108,23.073695449999995,554736,6604,84.0,5106,0.05,138658,0.33731409907341003,0.0001
108,23.421335729999996,554820,6605,84.0,5107,0.05,138679,0.2119627743959427,0.0001
108,24.483858379999997,554904,6606,84.0,5108,0.05,138700,0.13513457775115967,0.0001
108,24.730736819999997,554988,6607,84.0,5108,0.05,138721,0.36220890283584595,0.0001
108,23.83646788,555072,6608,84.0,5109,0.05,138742,0.21564561128616333,0.0001
108,24.20121039,555156,6609,84.0,5110,0.05,138763,0.2662888169288635,0.0001
108,24.84227313,555240,6610,84.0,5111,0.05,138784,0.4247867465019226,0.0001
108,25.486707920000004,555324,6611,84.0,5111,0.05,138805,0.21995273232460022,0.0001
108,26.462209050000002,555408,6612,84.0,5112,0.05,138826,0.20276202261447906,0.0001
