time/fps,time/total_timesteps,rollout/ep_rew_mean,time/time_elapsed,rollout/exploration_rate,time/episodes,rollout/ep_len_mean,train/loss,train/learning_rate,train/n_updates
202,209496,86.80491468999999,1034,0.05,2494,84.0,0.1607220321893692,0.0001,52348
202,209580,86.82095191999998,1035,0.05,2495,84.0,0.5560078024864197,0.0001,52369
202,209664,86.83389205000003,1035,0.05,2496,84.0,0.102973073720932,0.0001,52390
202,209748,86.8380244,1036,0.05,2497,84.0,3.917531967163086,0.0001,52411
202,209832,86.84287653000001,1036,0.05,2498,84.0,7.0545549392700195,0.0001,52432
202,209916,86.83482592,1037,0.05,2499,84.0,0.10990972071886063,0.0001,52453
202,210000,86.84181006,1037,0.05,2500,84.0,0.08066965639591217,0.0001,52474
202,210084,86.84320476,1037,0.05,2501,84.0,4.17943000793457,0.0001,52495
202,210168,86.84512066,1038,0.05,2502,84.0,7.1993513107299805,0.0001,52516
202,210252,86.86090469999999,1038,0.05,2503,84.0,0.303188294172287,0.0001,52537
202,210336,86.84885579,1039,0.05,2504,84.0,3.68117618560791,0.0001,52558
202,210420,86.87711818,1039,0.05,2505,84.0,3.5248146057128906,0.0001,52579
202,210504,86.86366216,1040,0.05,2506,84.0,6.879587173461914,0.0001,52600
202,210588,86.85375894,1040,0.05,2507,84.0,3.920854091644287,0.0001,52621
202,210672,86.84677629,1040,0.05,2508,84.0,0.1730242669582367,0.0001,52642
202,210756,86.86215531000002,1041,0.05,2509,84.0,0.34064367413520813,0.0001,52663
202,210840,86.86743378999999,1041,0.05,2510,84.0,0.19089367985725403,0.0001,52684
202,210924,86.86679717999999,1042,0.05,2511,84.0,0.22420352697372437,0.0001,52705
202,211008,86.89640073999999,1042,0.05,2512,84.0,3.7350013256073,0.0001,52726
202,211092,86.91338224,1043,0.05,2513,84.0,3.9553918838500977,0.0001,52747
202,211176,86.91770582000001,1043,0.05,2514,84.0,3.5669281482696533,0.0001,52768
202,211260,86.93042312000001,1043,0.05,2515,84.0,0.7327269315719604,0.0001,52789
202,211344,86.93472839,1044,0.05,2516,84.0,3.9594314098358154,0.0001,52810
202,211428,86.94707220000001,1044,0.05,2517,84.0,0.5349497199058533,0.0001,52831
202,211512,86.95338490999998,1045,0.05,2518,84.0,0.6540894508361816,0.0001,52852
202,211596,86.95158627999999,1045,0.05,2519,84.0,0.3562544584274292,0.0001,52873
202,211680,86.95294385999998,1046,0.05,2520,84.0,0.19256849586963654,0.0001,52894
202,211764,86.9486515,1046,0.05,2521,84.0,0.3856067955493927,0.0001,52915
202,211848,86.95495992000001,1046,0.05,2522,84.0,0.1867356300354004,0.0001,52936
202,211932,86.95622367,1047,0.05,2523,84.0,0.24270883202552795,0.0001,52957
202,212016,86.97264389,1047,0.05,2524,84.0,3.9254772663116455,0.0001,52978
202,212100,87.00155686,1048,0.05,2525,84.0,0.28146398067474365,0.0001,52999
202,212184,87.00832456,1048,0.05,2526,84.0,3.7199652194976807,0.0001,53020
202,212268,87.00273965000001,1049,0.05,2527,84.0,0.17949137091636658,0.0001,53041
202,212352,87.01989683000002,1049,0.05,2528,84.0,0.5834739208221436,0.0001,53062
202,212436,87.04304342000002,1050,0.05,2529,84.0,0.28920701146125793,0.0001,53083
202,212520,87.08609093,1050,0.05,2530,84.0,0.4298497438430786,0.0001,53104
202,212604,87.07116583999999,1051,0.05,2531,84.0,0.28016895055770874,0.0001,53125
202,212688,87.05362640999998,1051,0.05,2532,84.0,0.17759527266025543,0.0001,53146
202,212772,87.02694544999997,1051,0.05,2533,84.0,4.474977493286133,0.0001,53167
202,212856,87.02182293999998,1052,0.05,2534,84.0,3.874986410140991,0.0001,53188
202,212940,87.0308688,1052,0.05,2535,84.0,3.953737497329712,0.0001,53209
202,213024,87.04611418999998,1053,0.05,2536,84.0,0.19241219758987427,0.0001,53230
202,213108,87.04763578000002,1053,0.05,2537,84.0,0.08469071984291077,0.0001,53251
202,213192,87.03717959,1053,0.05,2538,84.0,0.3886318802833557,0.0001,53272
202,213276,87.03345812999999,1054,0.05,2539,84.0,0.5947407484054565,0.0001,53293
202,213360,87.02398505999997,1054,0.05,2540,84.0,3.819981098175049,0.0001,53314
202,213444,87.02070369999997,1055,0.05,2541,84.0,0.18466240167617798,0.0001,53335
202,213528,87.03548400999998,1055,0.05,2542,84.0,0.4142024517059326,0.0001,53356
202,213612,87.03887085999999,1055,0.05,2543,84.0,0.11631994694471359,0.0001,53377
202,213696,87.11530350999999,1056,0.05,2544,84.0,3.877436876296997,0.0001,53398
