time/fps,rollout/ep_len_mean,rollout/exploration_rate,time/time_elapsed,rollout/ep_rew_mean,time/total_timesteps,time/episodes,train/n_updates,train/learning_rate,train/loss
189,51.42,0.05,317,11.99530743,60206,1314,15026,0.0001,0.5882864594459534
189,50.87,0.05,318,11.53394602,60236,1315,15033,0.0001,8.353137969970703
189,50.82,0.05,318,11.43054029,60277,1316,15044,0.0001,0.9568045139312744
189,50.76,0.05,318,11.31818688,60310,1317,15052,0.0001,0.4636942148208618
189,50.76,0.05,318,9.88558957,60395,1318,15073,0.0001,0.7304110527038574
189,50.36,0.05,319,9.5110473,60440,1319,15084,0.0001,12.004769325256348
189,49.79,0.05,319,9.241994489999998,60468,1320,15091,0.0001,5.0913519859313965
189,49.79,0.05,319,9.48004442,60553,1321,15113,0.0001,0.6914336681365967
189,49.38,0.05,319,9.70874847,60597,1322,15124,0.0001,0.7192525863647461
189,49.33,0.05,320,9.62872306,60628,1323,15131,0.0001,0.8250436782836914
189,49.59,0.05,320,10.02674942,60683,1324,15145,0.0001,0.54754638671875
189,49.69,0.05,320,10.25215445,60726,1325,15156,0.0001,0.8722144365310669
189,49.2,0.05,320,9.84066907,60762,1326,15165,0.0001,7.6824235916137695
189,48.61,0.05,320,9.1829856,60788,1327,15171,0.0001,0.7598164081573486
189,48.66,0.05,321,9.26391127,60834,1328,15183,0.0001,0.5967045426368713
189,48.1,0.05,321,9.18496326,60863,1329,15190,0.0001,0.7058967351913452
189,48.39,0.05,321,9.72828979,60923,1330,15205,0.0001,4.67083740234375
189,47.88,0.05,321,9.680008780000001,60957,1331,15214,0.0001,0.7379018068313599
189,48.06,0.05,322,10.00390986,61002,1332,15225,0.0001,1.303483486175537
189,47.82,0.05,322,9.621418660000002,61052,1333,15237,0.0001,4.69018030166626
189,47.98,0.05,322,9.955738510000002,61102,1334,15250,0.0001,0.7354910373687744
189,48.17,0.05,322,10.27875739,61153,1335,15263,0.0001,0.6148611307144165
189,48.28,0.05,323,10.485165229999998,61196,1336,15273,0.0001,4.04105281829834
189,48.41,0.05,323,10.675915370000002,61234,1337,15283,0.0001,0.8548132181167603
189,47.9,0.05,323,10.746534480000001,61268,1338,15291,0.0001,4.829669952392578
189,47.9,0.05,324,11.270793779999998,61353,1339,15313,0.0001,4.266845703125
189,48.43,0.05,324,11.69539266,61438,1340,15334,0.0001,4.49208927154541
