time/total_timesteps,time/time_elapsed,rollout/ep_len_mean,rollout/exploration_rate,time/episodes,rollout/ep_rew_mean,time/fps,train/n_updates,train/learning_rate,train/loss
31343,226,30.43,0.05,952,-10.97351948,138,7810,0.0001,6.071140766143799
31370,227,30.43,0.05,953,-10.967035039999999,138,7817,0.0001,6.591487407684326
31455,227,31.0,0.05,954,-10.804349179999999,138,7838,0.0001,8.973875999450684
31484,227,31.02,0.05,955,-10.789275969999998,138,7845,0.0001,3.8167474269866943
31569,228,31.61,0.05,956,-10.292346139999998,138,7867,0.0001,3.839594602584839
31600,228,31.66,0.05,957,-10.234631639999998,138,7874,0.0001,1.2669687271118164
31628,228,31.69,0.05,958,-10.19266648,138,7881,0.0001,3.475740671157837
31657,228,31.73,0.05,959,-10.157160619999999,138,7889,0.0001,3.7826826572418213
31688,229,31.78,0.05,960,-10.09756239,138,7896,0.0001,1.1780074834823608
31714,229,31.77,0.05,961,-10.116404460000002,138,7903,0.0001,1.1245348453521729
31742,229,31.78,0.05,962,-10.089127560000001,138,7910,0.0001,1.2329059839248657
31770,229,31.8,0.05,963,-10.05852984,138,7917,0.0001,6.658540725708008
31802,230,31.85,0.05,964,-9.96471902,138,7925,0.0001,8.937504768371582
31830,230,31.84,0.05,965,-9.980710529999998,138,7932,0.0001,3.9646406173706055
31857,230,31.85,0.05,966,-9.966554559999999,138,7939,0.0001,0.9608160257339478
31882,230,31.85,0.05,967,-9.95909685,138,7945,0.0001,9.137925148010254
31907,231,31.84,0.05,968,-9.979177720000001,138,7951,0.0001,4.107137203216553
31933,231,31.84,0.05,969,-9.98138232,137,7958,0.0001,1.7042028903961182
31962,231,31.88,0.05,970,-9.93803381,137,7965,0.0001,3.8641412258148193
31990,231,31.91,0.05,971,-9.91468379,137,7972,0.0001,4.172539710998535
32016,232,31.92,0.05,972,-9.915628759999999,137,7978,0.0001,0.7456619739532471
32044,232,31.95,0.05,973,-9.88698872,137,7985,0.0001,4.0869340896606445
32069,232,31.95,0.05,974,-9.88698872,137,7992,0.0001,5.998503684997559
32098,232,31.98,0.05,975,-9.86396075,137,7999,0.0001,6.610539436340332
32123,232,31.95,0.05,976,-9.89274451,137,8005,0.0001,3.7643744945526123
32151,233,31.95,0.05,977,-9.888099460000001,137,8012,0.0001,6.882107734680176
32236,233,32.53,0.05,978,-10.019925709999999,138,8033,0.0001,11.347896575927734
32263,233,32.53,0.05,979,-10.021384139999999,138,8040,0.0001,1.0552622079849243
32289,233,32.53,0.05,980,-10.021380149999999,138,8047,0.0001,6.43631649017334
32314,234,32.48,0.05,981,-10.07846907,137,8053,0.0001,1.451751470565796
32341,234,32.49,0.05,982,-10.064525470000001,137,8060,0.0001,3.420989513397217
32370,234,32.5,0.05,983,-10.058839240000001,137,8067,0.0001,4.007806301116943
32398,234,32.53,0.05,984,-10.03571213,137,8074,0.0001,9.254494667053223
32426,235,32.56,0.05,985,-9.982968170000001,137,8081,0.0001,1.1021121740341187
32453,235,32.57,0.05,986,-9.98009218,137,8088,0.0001,1.252925157546997
32480,235,32.58,0.05,987,-9.96279093,137,8094,0.0001,4.015793323516846
32506,235,32.58,0.05,988,-9.97825972,137,8101,0.0001,1.2992265224456787
32534,236,32.6,0.05,989,-9.959781510000001,137,8108,0.0001,1.3369652032852173
32619,236,33.2,0.05,990,-9.628745499999999,137,8129,0.0001,6.383248329162598
32647,236,33.23,0.05,991,-9.57851266,137,8136,0.0001,6.433070182800293
32687,236,33.38,0.05,992,-9.33386634,137,8146,0.0001,6.565845489501953
32712,237,33.38,0.05,993,-9.33604052,137,8152,0.0001,1.0936223268508911
32740,237,33.41,0.05,994,-9.294956869999998,137,8159,0.0001,4.019025802612305
32769,237,33.45,0.05,995,-9.25206755,137,8167,0.0001,3.635484218597412
32796,237,33.45,0.05,996,-9.254132550000001,137,8173,0.0001,1.0312459468841553
