time/total_timesteps,time/time_elapsed,time/episodes,rollout/exploration_rate,rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,train/loss,train/learning_rate,train/n_updates
45199,260,1090,0.05,-1.7649519,173,40.41,3.3047409057617188,0.0001,11274
45225,260,1091,0.05,-1.74591206,173,40.42,1.0227434635162354,0.0001,11281
45254,260,1092,0.05,-1.71471936,173,40.45,4.4979448318481445,0.0001,11288
45279,261,1093,0.05,-1.7120387099999999,173,40.45,0.5787699222564697,0.0001,11294
45304,261,1094,0.05,-1.7202320099999995,173,40.45,3.044339179992676,0.0001,11300
45389,261,1095,0.05,-1.2546347599999994,173,41.05,0.8298153877258301,0.0001,11322
45474,262,1096,0.05,-0.5139029200000002,173,41.65,2.7919952869415283,0.0001,11343
45502,262,1097,0.05,-0.4877089700000001,173,41.67,0.8354372978210449,0.0001,11350
45528,262,1098,0.05,-0.4876054000000001,173,41.67,2.536667585372925,0.0001,11356
45553,263,1099,0.05,-1.08162801,173,41.07,0.7450180649757385,0.0001,11363
45638,263,1100,0.05,-0.42468622000000067,173,41.61,4.432986259460449,0.0001,11384
45663,263,1101,0.05,-0.4378010900000002,173,41.61,6.691929340362549,0.0001,11390
45688,263,1102,0.05,-0.4440548200000007,173,41.61,0.6785191893577576,0.0001,11396
45759,264,1103,0.05,0.19524563999999978,173,42.07,2.2693190574645996,0.0001,11414
45784,264,1104,0.05,0.12838208999999956,173,42.02,2.6676971912384033,0.0001,11420
45810,264,1105,0.05,0.08178271999999956,172,41.98,0.6230252385139465,0.0001,11427
45895,265,1106,0.05,0.5594951299999995,172,42.58,8.253179550170898,0.0001,11448
45980,265,1107,0.05,0.5920653799999996,172,43.18,2.676640510559082,0.0001,11469
46005,266,1108,0.05,0.5780351,172,43.16,2.8624696731567383,0.0001,11476
46030,266,1109,0.05,0.1302057799999999,172,42.56,2.609484910964966,0.0001,11482
46115,266,1110,0.05,0.08452270000000003,172,43.06,3.145407199859619,0.0001,11503
46140,267,1111,0.05,0.09272440999999994,172,43.06,4.452475070953369,0.0001,11509
46165,267,1112,0.05,0.07530054999999981,172,43.03,2.8231184482574463,0.0001,11516
46250,267,1113,0.05,0.35575142,172,43.63,0.5965794324874878,0.0001,11537
46275,268,1114,0.05,0.06469933000000003,172,43.03,0.8960205316543579,0.0001,11543
46300,268,1115,0.05,0.06880537000000009,172,43.03,1.0644645690917969,0.0001,11549
46325,268,1116,0.05,0.0688422899999995,172,43.03,7.075100421905518,0.0001,11556
46350,268,1117,0.05,0.06884677999999962,172,43.03,4.58282470703125,0.0001,11562
46375,268,1118,0.05,0.06884677999999982,172,43.03,0.7252143025398254,0.0001,11568
46401,269,1119,0.05,-0.7695640700000004,172,42.44,0.6218410730361938,0.0001,11575
46486,269,1120,0.05,-0.15296208000000028,172,43.04,0.7959182858467102,0.0001,11596
46571,270,1121,0.05,0.07824075999999941,172,43.64,4.588418483734131,0.0001,11617
46596,270,1122,0.05,0.09135562999999967,172,43.64,2.944912910461426,0.0001,11623
46681,270,1123,0.05,0.4850489099999997,172,44.24,2.88520884513855,0.0001,11645
46706,270,1124,0.05,-0.09148266000000028,172,43.67,0.892845094203949,0.0001,11651
46732,271,1125,0.05,-0.0741921200000005,172,43.68,2.529036045074463,0.0001,11657
46759,271,1126,0.05,-0.27641930000000037,172,43.1,2.7422869205474854,0.0001,11664
46784,271,1127,0.05,-0.6904134200000002,172,42.5,0.5259146690368652,0.0001,11670
46810,271,1128,0.05,-0.6697483200000005,172,42.51,2.296504020690918,0.0001,11677
46835,271,1129,0.05,-1.0160464800000002,172,41.91,0.5563727617263794,0.0001,11683
46860,272,1130,0.05,-1.8084879200000001,172,41.55,0.7532762289047241,0.0001,11689
46885,272,1131,0.05,-1.8203762700000004,172,41.55,3.057461738586426,0.0001,11696
46910,272,1132,0.05,-1.90729795,172,41.48,0.4515489339828491,0.0001,11702
46935,272,1133,0.05,-1.9179036799999998,172,41.48,0.9029184579849243,0.0001,11708
46960,273,1134,0.05,-1.9235170299999995,171,41.48,2.737245798110962,0.0001,11714
46985,273,1135,0.05,-2.0295224099999998,171,40.88,2.3282172679901123,0.0001,11721
47010,273,1136,0.05,-2.0339782299999998,171,40.88,2.5509238243103027,0.0001,11727
47035,273,1137,0.05,-2.82144589,171,40.28,2.6018271446228027,0.0001,11733
47060,273,1138,0.05,-2.8306583399999994,171,40.26,2.6746139526367188,0.0001,11739
47085,274,1139,0.05,-2.8306316499999995,171,40.26,0.8965649008750916,0.0001,11746
47170,274,1140,0.05,-2.2566455799999994,171,40.86,4.756965637207031,0.0001,11767
47195,274,1141,0.05,-2.3126455999999997,171,40.26,2.522921562194824,0.0001,11773
47280,275,1142,0.05,-1.7187627599999997,171,40.86,3.012176513671875,0.0001,11794
47306,275,1143,0.05,-1.7008773,171,40.87,0.6859303712844849,0.0001,11801
47331,275,1144,0.05,-1.7055871899999997,171,40.86,2.476487159729004,0.0001,11807
47356,275,1145,0.05,-1.7057308200000003,171,40.85,2.956263542175293,0.0001,11813
47381,275,1146,0.05,-1.7057308199999996,171,40.85,2.6359620094299316,0.0001,11820
47407,276,1147,0.05,-1.7009687300000003,171,40.85,3.01621150970459,0.0001,11826
47432,276,1148,0.05,-2.9127256500000005,171,40.25,0.8130815029144287,0.0001,11832
47458,276,1149,0.05,-3.3356416300000005,171,39.98,6.5027570724487305,0.0001,11839
47486,276,1150,0.05,-3.3149390299999997,171,40.0,1.0697636604309082,0.0001,11846
47512,276,1151,0.05,-3.3141111800000003,171,40.01,3.1724674701690674,0.0001,11852
47587,277,1152,0.05,-3.4738494199999996,171,39.91,0.624043881893158,0.0001,11871
47612,277,1153,0.05,-3.7955109199999995,171,39.31,0.8019112348556519,0.0001,11877
47637,277,1154,0.05,-3.7955106699999988,171,39.31,2.7842490673065186,0.0001,11884
47722,278,1155,0.05,-3.818593709999999,171,39.9,2.908517599105835,0.0001,11905
47748,278,1156,0.05,-3.817919259999999,171,39.91,0.7376560568809509,0.0001,11911
47773,278,1157,0.05,-3.8091563699999993,171,39.91,0.5290368795394897,0.0001,11918
47799,278,1158,0.05,-4.542060359999999,171,39.32,3.276865005493164,0.0001,11924
47824,278,1159,0.05,-4.54211555,171,39.32,0.7983756065368652,0.0001,11930
47849,278,1160,0.05,-4.57096219,171,39.29,3.0016889572143555,0.0001,11937
47874,279,1161,0.05,-4.57096219,171,39.29,0.9501246213912964,0.0001,11943
47899,279,1162,0.05,-4.57096219,171,39.29,2.5965476036071777,0.0001,11949
47927,279,1163,0.05,-4.542184140000001,171,39.32,0.7132534980773926,0.0001,11956
47952,279,1164,0.05,-5.09749558,171,38.72,0.6528924107551575,0.0001,11962
47979,279,1165,0.05,-5.06233403,171,38.74,0.7922621965408325,0.0001,11969
48040,280,1166,0.05,-4.46002953,171,39.1,0.8348851799964905,0.0001,11984
48065,280,1167,0.05,-4.46037467,171,39.1,2.6760380268096924,0.0001,11991
48150,280,1168,0.05,-3.9504776600000002,171,39.68,0.9090330600738525,0.0001,12012
48175,281,1169,0.05,-3.9517731799999996,171,39.67,0.8382561206817627,0.0001,12018
48260,281,1170,0.05,-4.06721361,171,40.27,2.9054510593414307,0.0001,12039
48285,281,1171,0.05,-4.0705445,171,40.27,4.808198928833008,0.0001,12046
48310,282,1172,0.05,-4.294834700000001,171,39.67,3.0391452312469482,0.0001,12052
48381,282,1173,0.05,-3.4493476800000002,171,40.13,4.454699516296387,0.0001,12070
48466,282,1174,0.05,-3.089144820000001,171,40.13,2.365525960922241,0.0001,12091
48491,283,1175,0.05,-3.08059665,171,40.13,4.586435317993164,0.0001,12097
48516,283,1176,0.05,-3.0975324199999994,171,40.11,4.836871147155762,0.0001,12103
48542,283,1177,0.05,-3.3390067999999995,171,39.52,2.5788567066192627,0.0001,12110
48567,283,1178,0.05,-4.05901739,171,39.08,0.6214761734008789,0.0001,12116
48592,284,1179,0.05,-4.688303149999999,171,38.48,0.6256735324859619,0.0001,12122
48618,284,1180,0.05,-5.3466195,170,37.9,2.6383626461029053,0.0001,12129
48643,284,1181,0.05,-5.351152410000001,170,37.89,2.873422145843506,0.0001,12135
48668,284,1182,0.05,-6.261187990000001,170,37.29,3.183795690536499,0.0001,12141
48693,285,1183,0.05,-6.261187990000001,170,37.29,0.4930838644504547,0.0001,12148
48718,285,1184,0.05,-6.274379880000001,170,37.29,2.7766222953796387,0.0001,12154
48743,285,1185,0.05,-6.275596250000001,170,37.29,0.32346951961517334,0.0001,12160
48771,285,1186,0.05,-6.25306357,170,37.32,0.7267862558364868,0.0001,12167
48796,285,1187,0.05,-6.25306357,170,37.32,2.85323429107666,0.0001,12173
48821,286,1188,0.05,-6.252294900000001,170,37.32,8.240461349487305,0.0001,12180
48846,286,1189,0.05,-6.25215151,170,37.32,1.054237961769104,0.0001,12186
48878,286,1190,0.05,-6.336515230000001,170,36.79,0.6154782772064209,0.0001,12194
48903,286,1191,0.05,-6.342444779999999,170,36.78,0.9829230904579163,0.0001,12200
48928,287,1192,0.05,-6.373670780000002,170,36.74,0.716003954410553,0.0001,12206
48953,287,1193,0.05,-6.373602850000001,170,36.74,2.408994674682617,0.0001,12213
49038,287,1194,0.05,-6.092393570000001,170,37.34,2.9696991443634033,0.0001,12234
49065,287,1195,0.05,-6.538349889999999,170,36.76,0.9494553208351135,0.0001,12241
49091,288,1196,0.05,-7.2694791500000004,170,36.17,4.199234962463379,0.0001,12247
49120,288,1197,0.05,-7.262648539999999,170,36.18,0.9953157305717468,0.0001,12254
49146,288,1198,0.05,-7.252969950000001,170,36.18,0.9450911283493042,0.0001,12261
49171,288,1199,0.05,-7.25308832,170,36.18,0.7350828647613525,0.0001,12267
49196,288,1200,0.05,-7.98464812,170,35.58,0.9581621885299683,0.0001,12273
49224,289,1201,0.05,-7.9543892000000005,170,35.61,0.8086698651313782,0.0001,12280
49250,289,1202,0.05,-7.947991840000001,170,35.62,3.04643177986145,0.0001,12287
49276,289,1203,0.05,-8.582010400000003,170,35.17,2.507791757583618,0.0001,12293
49301,289,1204,0.05,-8.56888247,170,35.17,5.089597702026367,0.0001,12300
49380,290,1205,0.05,-7.956393150000001,170,35.7,0.8409652709960938,0.0001,12319
49405,290,1206,0.05,-8.43226285,170,35.1,1.0095006227493286,0.0001,12326
49478,290,1207,0.05,-7.856101680000002,170,34.98,0.9334704875946045,0.0001,12344
49505,291,1208,0.05,-7.842027640000001,170,35.0,0.7876094579696655,0.0001,12351
49530,291,1209,0.05,-7.8552379100000005,169,35.0,2.4664809703826904,0.0001,12357
49563,291,1210,0.05,-7.826614450000001,169,34.48,3.1096208095550537,0.0001,12365
49588,291,1211,0.05,-7.826557719999999,169,34.48,0.9481438398361206,0.0001,12371
49613,292,1212,0.05,-7.826583160000001,169,34.48,2.695467948913574,0.0001,12378
49638,292,1213,0.05,-8.11265805,169,33.88,6.222911834716797,0.0001,12384
49663,292,1214,0.05,-8.12562495,169,33.88,2.5478641986846924,0.0001,12390
49692,292,1215,0.05,-8.085667210000002,169,33.92,0.5442596673965454,0.0001,12397
49717,293,1216,0.05,-8.08568211,169,33.92,6.415327072143555,0.0001,12404
49742,293,1217,0.05,-8.08568687,169,33.92,3.213691234588623,0.0001,12410
49827,293,1218,0.05,-7.761043730000001,169,34.52,0.714185893535614,0.0001,12431
49852,293,1219,0.05,-7.762274110000002,169,34.51,2.4548137187957764,0.0001,12437
49900,294,1220,0.05,-8.00234198,169,34.14,4.206394195556641,0.0001,12449
49925,294,1221,0.05,-8.231599090000001,169,33.54,2.116621971130371,0.0001,12456
50006,294,1222,0.05,-7.532268550000001,169,34.1,4.954078674316406,0.0001,12476
50032,295,1223,0.05,-7.92353789,169,33.51,2.7124202251434326,0.0001,12482
50057,295,1224,0.05,-7.936554129999999,169,33.51,2.548945426940918,0.0001,12489
50082,295,1225,0.05,-7.95384467,169,33.5,1.010055422782898,0.0001,12495
50109,295,1226,0.05,-7.939910020000001,169,33.5,2.3068084716796875,0.0001,12502
50136,296,1227,0.05,-7.92422876,169,33.52,3.005599021911621,0.0001,12508
50164,296,1228,0.05,-7.914434629999999,169,33.54,0.7289148569107056,0.0001,12515
50249,296,1229,0.05,-7.292411389999999,169,34.14,0.8276121616363525,0.0001,12537
50334,296,1230,0.05,-6.003821799999998,169,34.74,5.305586338043213,0.0001,12558
50419,297,1231,0.05,-5.080022759999998,169,35.34,4.323775291442871,0.0001,12579
50504,297,1232,0.05,-4.605338039999998,169,35.94,0.512668251991272,0.0001,12600
50577,298,1233,0.05,-3.94946349,169,36.42,3.2756242752075195,0.0001,12619
50602,298,1234,0.05,-3.9571410699999983,169,36.42,0.9653394222259521,0.0001,12625
50687,298,1235,0.05,-3.7489010499999984,169,37.02,2.573742389678955,0.0001,12646
50713,298,1236,0.05,-3.745254319999999,169,37.03,4.965364456176758,0.0001,12653
50798,299,1237,0.05,-3.69168319,169,37.63,0.6128122806549072,0.0001,12674
50823,299,1238,0.05,-3.6916831899999996,169,37.63,4.29707670211792,0.0001,12680
50850,299,1239,0.05,-3.68329126,169,37.65,2.6154017448425293,0.0001,12687
50877,300,1240,0.05,-4.236883079999999,169,37.07,2.782719612121582,0.0001,12694
50904,300,1241,0.05,-4.22292287,169,37.09,6.980154514312744,0.0001,12700
50929,300,1242,0.05,-4.81689325,169,36.49,6.554089069366455,0.0001,12707
51014,300,1243,0.05,-4.367653069999999,169,37.08,5.611209869384766,0.0001,12728
51099,301,1244,0.05,-3.4012596499999983,169,37.68,2.928190231323242,0.0001,12749
51184,301,1245,0.05,-2.73289233,169,38.28,2.563828229904175,0.0001,12770
51269,302,1246,0.05,-1.5531095899999992,169,38.88,3.760974168777466,0.0001,12792
51354,302,1247,0.05,-1.1733216899999988,169,39.47,0.8738313913345337,0.0001,12813
51381,302,1248,0.05,-1.159343469999999,169,39.49,4.260913372039795,0.0001,12820
51466,303,1249,0.05,-1.1030992699999993,169,40.08,4.974201202392578,0.0001,12841
51491,303,1250,0.05,-1.1238823199999992,169,40.05,0.8385393619537354,0.0001,12847
51516,303,1251,0.05,-1.1240259499999992,169,40.04,0.6119589805603027,0.0001,12853
51601,303,1252,0.05,-1.725168399999999,169,40.14,5.038291931152344,0.0001,12875
51686,304,1253,0.05,-1.1537893199999993,169,40.74,0.6755154132843018,0.0001,12896
51714,304,1254,0.05,-1.1269309199999993,169,40.77,0.6144834160804749,0.0001,12903
51799,304,1255,0.05,-0.4870335899999999,169,40.77,4.280570983886719,0.0001,12924
51884,305,1256,0.05,-0.2639290499999991,169,41.36,4.748444557189941,0.0001,12945
51969,305,1257,0.05,0.20232075000000052,169,41.96,2.823396682739258,0.0001,12967
51999,305,1258,0.05,0.24936456000000007,169,42.0,3.2061350345611572,0.0001,12974
52084,306,1259,0.05,0.6423994199999997,170,42.6,0.7032995820045471,0.0001,12995
52157,306,1260,0.05,1.3778914099999997,170,43.08,0.8360977172851562,0.0001,13014
52185,306,1261,0.05,1.3992061000000005,170,43.11,2.584587574005127,0.0001,13021
52212,307,1262,0.05,1.41256901,170,43.13,2.6396708488464355,0.0001,13027
52240,307,1263,0.05,1.4125690100000003,169,43.13,1.3424098491668701,0.0001,13034
52325,307,1264,0.05,2.7729085799999997,170,43.73,3.1928915977478027,0.0001,13056
52394,308,1265,0.05,3.2809156900000005,170,44.15,2.8764286041259766,0.0001,13073
52419,308,1266,0.05,2.6653663700000005,170,43.79,2.5664772987365723,0.0001,13079
52447,308,1267,0.05,2.686951710000001,169,43.82,0.8555417060852051,0.0001,13086
52532,308,1268,0.05,2.3889964300000006,170,43.82,5.610668182373047,0.0001,13107
52617,309,1269,0.05,3.136285290000001,170,44.42,6.688356399536133,0.0001,13129
52702,309,1270,0.05,3.87995214,170,44.42,4.5994791984558105,0.0001,13150
52780,310,1271,0.05,4.49366564,170,44.95,2.4207282066345215,0.0001,13169
52865,310,1272,0.05,4.724962679999999,170,45.55,0.7531557083129883,0.0001,13191
52891,310,1273,0.05,3.8855803599999996,170,45.1,2.798447847366333,0.0001,13197
52976,311,1274,0.05,4.4830041399999985,170,45.1,4.83366060256958,0.0001,13218
53046,311,1275,0.05,5.136251309999999,170,45.55,1.006298542022705,0.0001,13236
53071,311,1276,0.05,5.124093759999999,170,45.55,2.6656718254089355,0.0001,13242
53097,311,1277,0.05,5.11209141,170,45.55,4.8804030418396,0.0001,13249
53123,312,1278,0.05,5.1254392599999985,170,45.56,0.8568052053451538,0.0001,13255
53148,312,1279,0.05,5.112332879999999,170,45.56,2.7017056941986084,0.0001,13261
53233,312,1280,0.05,5.37657029,170,46.15,0.5241779088973999,0.0001,13283
53258,313,1281,0.05,5.376571029999999,170,46.15,0.8817343711853027,0.0001,13289
53285,313,1282,0.05,5.38248572,170,46.17,4.854350566864014,0.0001,13296
53310,313,1283,0.05,5.370596010000001,170,46.17,0.5916090607643127,0.0001,13302
53395,313,1284,0.05,5.562438259999999,170,46.77,2.47316837310791,0.0001,13323
53421,314,1285,0.05,5.575668689999999,170,46.78,0.703628420829773,0.0001,13330
53446,314,1286,0.05,5.558219349999998,170,46.75,0.6387592554092407,0.0001,13336
53518,314,1287,0.05,6.291428779999999,170,47.22,2.5563035011291504,0.0001,13354
53603,314,1288,0.05,6.621139849999997,170,47.82,1.0251579284667969,0.0001,13375
53628,315,1289,0.05,6.607959439999998,170,47.82,5.01220703125,0.0001,13381
53713,315,1290,0.05,6.730165079999998,170,48.35,5.157603740692139,0.0001,13403
53741,315,1291,0.05,6.747652299999999,170,48.38,1.2458295822143555,0.0001,13410
53826,315,1292,0.05,7.990934569999999,170,48.98,3.023139715194702,0.0001,13431
53911,316,1293,0.05,8.226660169999999,170,49.58,4.384265422821045,0.0001,13452
53996,316,1294,0.05,7.96254767,170,49.58,0.9095989465713501,0.0001,13473
54081,317,1295,0.05,8.76838742,170,50.16,2.7221620082855225,0.0001,13495
54108,317,1296,0.05,8.77274905,170,50.17,4.851624011993408,0.0001,13501
54193,317,1297,0.05,9.144057189999998,170,50.73,2.962796688079834,0.0001,13523
54278,318,1298,0.05,9.692851019999999,170,51.32,0.7525902986526489,0.0001,13544
54363,318,1299,0.05,9.85590458,170,51.92,1.006894826889038,0.0001,13565
54388,318,1300,0.05,9.855904579999999,170,51.92,7.0126519203186035,0.0001,13571
54427,319,1301,0.05,10.061856330000001,170,52.03,4.791162967681885,0.0001,13581
54455,319,1302,0.05,10.088283299999999,170,52.05,0.7957568168640137,0.0001,13588
54483,319,1303,0.05,10.110167210000002,170,52.07,0.6778103113174438,0.0001,13595
54509,319,1304,0.05,10.1102883,170,52.08,2.4288718700408936,0.0001,13602
54594,320,1305,0.05,9.900533489999999,170,52.14,2.8244032859802246,0.0001,13623
54674,320,1306,0.05,10.670032199999998,170,52.69,2.1157169342041016,0.0001,13643
54759,320,1307,0.05,11.235063089999999,170,52.81,0.7324062585830688,0.0001,13664
54844,321,1308,0.05,11.74396549,170,53.39,4.020699501037598,0.0001,13685
54876,321,1309,0.05,11.83822664,170,53.46,0.48491370677948,0.0001,13693
