rollout/ep_rew_mean,time/fps,time/episodes,rollout/ep_len_mean,time/total_timesteps,rollout/exploration_rate,time/time_elapsed,train/learning_rate,train/n_updates,train/loss
68.7349545892857,209,56,84.0,4704,0.9503466666666662,22,0.0001,1150,11.696353912353516
68.82017575438596,208,57,84.0,4788,0.9494600000000001,22,0.0001,1171,1.3700604438781738
68.83844568965517,208,58,84.0,4872,0.9485733333333328,23,0.0001,1192,0.9015758633613586
68.18888442372881,207,59,84.0,4956,0.9476866666666668,23,0.0001,1213,0.6464617848396301
68.68726629999999,207,60,84.0,5040,0.9467999999999995,24,0.0001,1234,1.0143622159957886
68.77800581967213,207,61,84.0,5124,0.9459133333333334,24,0.0001,1255,5.957253932952881
68.06630595161289,207,62,84.0,5208,0.9450266666666662,25,0.0001,1276,0.6334777474403381
67.4703306984127,206,63,84.0,5292,0.9441400000000001,25,0.0001,1297,0.6905907392501831
67.26042128124999,206,64,84.0,5376,0.9432533333333328,26,0.0001,1318,1.1506365537643433
67.40012418461538,206,65,84.0,5460,0.9423666666666667,26,0.0001,1339,0.8127444982528687
67.4943365151515,206,66,84.0,5544,0.9414799999999994,26,0.0001,1360,6.208256721496582
67.48492283582088,205,67,84.0,5628,0.9405933333333334,27,0.0001,1381,5.88313102722168
66.77263642647058,205,68,84.0,5712,0.9397066666666672,27,0.0001,1402,1.214510202407837
66.86529715942028,205,69,84.0,5796,0.93882,28,0.0001,1423,0.8249070644378662
