time/total_timesteps,rollout/exploration_rate,time/time_elapsed,rollout/ep_rew_mean,time/episodes,time/fps,rollout/ep_len_mean,train/n_updates,train/learning_rate,train/loss
20664,0.7818800000000002,124,80.55111907999999,246,166,84.0,5140,0.0001,0.3155829608440399
20748,0.780993333333333,124,80.65651954,247,166,84.0,5161,0.0001,0.3454876244068146
20832,0.7801066666666668,125,80.68601656999999,248,166,84.0,5182,0.0001,0.4178507626056671
20916,0.7792199999999997,125,80.78711868999999,249,166,84.0,5203,0.0001,0.2563413679599762
21000,0.7783333333333335,126,80.87023272,250,166,84.0,5224,0.0001,0.7159502506256104
21084,0.7774466666666663,126,80.32062719,251,166,84.0,5245,0.0001,0.7315513491630554
21168,0.7765600000000001,127,80.21743476,252,166,84.0,5266,0.0001,0.5518287420272827
21252,0.775673333333333,128,80.17716604000002,253,165,84.0,5287,0.0001,0.5179657936096191
21336,0.7747866666666668,128,80.30815201,254,165,84.0,5308,0.0001,0.19952961802482605
21420,0.7738999999999996,129,80.42938288,255,165,84.0,5329,0.0001,0.42276328802108765
21504,0.7730133333333334,129,80.49318357,256,165,84.0,5350,0.0001,3.2650885581970215
21588,0.7721266666666663,130,80.12527840999999,257,165,84.0,5371,0.0001,0.2658507227897644
21672,0.7712400000000001,130,80.18789636999999,258,165,84.0,5392,0.0001,0.3389781713485718
21756,0.7703533333333329,131,80.26203194999998,259,165,84.0,5413,0.0001,3.456055164337158
21840,0.7694666666666667,132,80.11399572999998,260,165,84.0,5434,0.0001,3.3615145683288574
21924,0.7685799999999996,132,80.17864133,261,164,84.0,5455,0.0001,0.45157694816589355
22008,0.7676933333333334,133,80.325365,262,164,84.0,5476,0.0001,3.5611305236816406
22092,0.7668066666666662,134,80.42572326,263,164,84.0,5497,0.0001,0.35410603880882263
22176,0.76592,134,80.37073183999999,264,164,84.0,5518,0.0001,3.4351186752319336
22260,0.7650333333333329,135,79.87521312,265,164,84.0,5539,0.0001,0.39301174879074097
22344,0.7641466666666668,135,79.96838628999998,266,164,84.0,5560,0.0001,0.2857055962085724
22428,0.7632599999999995,136,80.49756791,267,164,84.0,5581,0.0001,0.344335675239563
22512,0.7623733333333333,136,80.46441587,268,164,84.0,5602,0.0001,3.3937692642211914
22596,0.7614866666666672,137,80.13049812999999,269,164,84.0,5623,0.0001,6.609255790710449
22680,0.7606,138,80.1713514,270,164,84.0,5644,0.0001,3.447110652923584
22764,0.7597133333333328,138,80.5102583,271,164,84.0,5665,0.0001,0.37620529532432556
22848,0.7588266666666666,139,80.88007358,272,164,84.0,5686,0.0001,0.41744452714920044
22932,0.7579400000000005,139,81.10255305999999,273,164,84.0,5707,0.0001,0.4612386226654053
23016,0.7570533333333334,140,80.79320273999998,274,164,84.0,5728,0.0001,3.4880805015563965
23100,0.7561666666666671,140,80.86878744999999,275,164,84.0,5749,0.0001,0.3579084873199463
23184,0.75528,141,81.06609012999998,276,164,84.0,5770,0.0001,0.2892271876335144
23268,0.7543933333333338,141,80.65436116,277,164,84.0,5791,0.0001,3.4891092777252197
23352,0.7535066666666667,142,80.25510356,278,163,84.0,5812,0.0001,0.3194040060043335
23436,0.7526200000000005,143,79.94753048999999,279,163,84.0,5833,0.0001,3.279533863067627
23520,0.7517333333333333,143,79.91844504,280,163,84.0,5854,0.0001,3.3327362537384033
23604,0.7508466666666671,144,79.73785403,281,163,84.0,5875,0.0001,0.1900736391544342
23688,0.74996,145,79.38150997000001,282,163,84.0,5896,0.0001,3.482433319091797
23772,0.7490733333333337,145,79.29884089000001,283,163,84.0,5917,0.0001,0.22601790726184845
23856,0.7481866666666666,146,79.75356236,284,163,84.0,5938,0.0001,0.5019954442977905
23940,0.7473000000000004,146,79.76470663,285,163,84.0,5959,0.0001,0.24310213327407837
24024,0.7464133333333332,147,79.37950046,286,162,84.0,5980,0.0001,0.5076994299888611
24108,0.7455266666666671,147,79.70611525,287,162,84.0,6001,0.0001,0.47574883699417114
24192,0.7446399999999999,148,80.35979922,288,162,84.0,6022,0.0001,0.4823131561279297
24276,0.7437533333333337,149,80.28902996000001,289,162,84.0,6043,0.0001,0.3242747187614441
24360,0.7428666666666666,149,80.54756772000002,290,162,84.0,6064,0.0001,3.394641637802124
24444,0.7419800000000003,150,80.02992417000002,291,162,84.0,6085,0.0001,0.25413262844085693
24528,0.7410933333333332,150,79.93182006,292,162,84.0,6106,0.0001,0.33005502820014954
24612,0.740206666666667,151,79.52435135000002,293,162,84.0,6127,0.0001,0.39043623208999634
24696,0.7393199999999998,152,79.47068746000001,294,162,84.0,6148,0.0001,0.461436003446579
24780,0.7384333333333337,152,79.10649575000001,295,162,84.0,6169,0.0001,6.367217540740967
24864,0.7375466666666665,153,79.19699194,296,162,84.0,6190,0.0001,3.2152175903320312
24948,0.7366600000000003,153,78.7249311,297,162,84.0,6211,0.0001,0.2511522173881531
25032,0.7357733333333332,154,78.53380527000002,298,162,84.0,6232,0.0001,0.42001643776893616
25116,0.7348866666666669,154,78.93230113000001,299,162,84.0,6253,0.0001,0.38839292526245117
25200,0.7339999999999998,155,78.64104817000002,300,162,84.0,6274,0.0001,0.25285643339157104
